"";"SEXE";"EDAT";"DOSI";"n"
"1";"Dona";"0 a 14";1;7
"2";"Dona";"0 a 14";2;2
"3";"Dona";"15 a 19";1;4944
"4";"Dona";"15 a 19";2;2326
"5";"Dona";"20 a 24";1;26251
"6";"Dona";"20 a 24";2;12876
"7";"Dona";"25 a 29";1;33040
"8";"Dona";"25 a 29";2;16278
"9";"Dona";"30 a 34";1;32595
"10";"Dona";"30 a 34";2;15118
"11";"Dona";"35 a 39";1;38734
"12";"Dona";"35 a 39";2;17708
"13";"Dona";"40 a 44";1;51186
"14";"Dona";"40 a 44";2;23628
"15";"Dona";"45 a 49";1;52101
"16";"Dona";"45 a 49";2;24623
"17";"Dona";"50 a 54";1;51275
"18";"Dona";"50 a 54";2;24577
"19";"Dona";"55 a 59";1;44409
"20";"Dona";"55 a 59";2;26536
"21";"Dona";"60 a 64";1;150488
"22";"Dona";"60 a 64";2;22406
"23";"Dona";"65 a 69";1;79056
"24";"Dona";"65 a 69";2;9701
"25";"Dona";"70 a 74";1;67642
"26";"Dona";"70 a 74";2;8957
"27";"Dona";"75 a 79";1;132380
"28";"Dona";"75 a 79";2;15529
"29";"Dona";"80 o més";1;260345
"30";"Dona";"80 o més";2;196795
"31";"Home";"0 a 14";1;6
"32";"Home";"0 a 14";2;2
"33";"Home";"15 a 19";1;2274
"34";"Home";"15 a 19";2;1074
"35";"Home";"20 a 24";1;10144
"36";"Home";"20 a 24";2;4792
"37";"Home";"25 a 29";1;13849
"38";"Home";"25 a 29";2;6553
"39";"Home";"30 a 34";1;15332
"40";"Home";"30 a 34";2;6538
"41";"Home";"35 a 39";1;18433
"42";"Home";"35 a 39";2;7011
"43";"Home";"40 a 44";1;24672
"44";"Home";"40 a 44";2;8734
"45";"Home";"45 a 49";1;25319
"46";"Home";"45 a 49";2;9199
"47";"Home";"50 a 54";1;23825
"48";"Home";"50 a 54";2;9786
"49";"Home";"55 a 59";1;23034
"50";"Home";"55 a 59";2;11634
"51";"Home";"60 a 64";1;143135
"52";"Home";"60 a 64";2;12037
"53";"Home";"65 a 69";1;78613
"54";"Home";"65 a 69";2;8243
"55";"Home";"70 a 74";1;52613
"56";"Home";"70 a 74";2;7598
"57";"Home";"75 a 79";1;105571
"58";"Home";"75 a 79";2;9307
"59";"Home";"80 o més";1;153094
"60";"Home";"80 o més";2;111670
"61";"No classificat";"No classificat";1;3227
"62";"No classificat";"No classificat";2;2174
